+---------------+----------------+----------------------+---------------------+------------------------+--------------------------+
|   First term  |  Second term   |        Target        |     Wup Distance    | Shortest Path Distance | Leakcock & Chod Distance |
+---------------+----------------+----------------------+---------------------+------------------------+--------------------------+
|      love     |      sex       |  0.6769999999999999  |  0.9090909090909091 |          0.8           |   0.43339347763417224    |
|     tiger     |      cat       |        0.735         |  0.9629629629629629 |           0            |            0             |
|     tiger     |     tiger      |         1.0          |         1.0         |          1.0           |           1.0            |
|      book     |     paper      |        0.746         |  0.8571428571428571 |         0.975          |    0.9933507113510024    |
|    computer   |    keyboard    |        0.762         |         0.8         |         0.875          |     0.55995723371683     |
|    computer   |    internet    |        0.758         |  0.5882352941176471 |         0.825          |   0.46935114594543464    |
|     plane     |      car       |        0.577         |  0.7368421052631579 |         0.775          |   0.40167656638518373    |
|     train     |      car       |        0.631         |         0.75        |          0.85          |    0.5108612276291497    |
|   telephone   | communication  |         0.75         |         0.2         |           0            |            0             |
|   television  |     radio      |  0.6769999999999999  |         0.9         |         0.975          |    0.9933507113510024    |
|     media     |     radio      |        0.742         |         0.8         |         0.725          |   0.34763945821611003    |
|      drug     |     abuse      |  0.6849999999999999  |  0.2222222222222222 |           0            |            0             |
|     bread     |     butter     |        0.619         |         1.0         |         0.975          |    0.9933507113510024    |
|    cucumber   |     potato     |        0.592         |  0.8571428571428571 |         0.925          |    0.697513638868093     |
|     doctor    |     nurse      |         0.7          |         1.0         |         0.975          |    0.9933507113510024    |
|   professor   |     doctor     |        0.662         |        0.625        |          0.85          |    0.5108612276291497    |
|    student    |   professor    |  0.6809999999999999  | 0.46153846153846156 |           0            |            0             |
|     smart     |    student     |        0.462         | 0.15384615384615385 |           0            |            0             |
|     smart     |     stupid     |        0.581         | 0.15384615384615385 |           0            |            0             |
|    company    |     stock      |        0.708         |  0.5882352941176471 |         0.875          |     0.55995723371683     |
|     stock     |     market     |        0.808         |  0.5333333333333333 |          0.85          |    0.5108612276291497    |
|     stock     |     phone      |        0.162         |         0.75        |         0.825          |   0.46935114594543464    |
|     stock     |       CD       |        0.131         |         0.8         |          0.8           |   0.43339347763417224    |
|     stock     |     jaguar     |        0.092         |         0.8         |           0            |            0             |
|     stock     |      egg       |        0.181         |  0.5714285714285714 |          0.75          |    0.3733048224778867    |
|   fertility   |      egg       |        0.669         | 0.18181818181818182 |           0            |            0             |
|     stock     |      live      |        0.373         |         0.4         |           0            |            0             |
|     stock     |      life      |        0.092         |  0.6666666666666666 |          0.8           |   0.43339347763417224    |
|      book     |    library     |        0.746         |         0.75        |         0.975          |    0.9933507113510024    |
|      bank     |     money      |  0.8119999999999999  |         0.5         |          0.85          |    0.5108612276291497    |
|      wood     |     forest     |        0.773         |         1.0         |          1.0           |           1.0            |
|     money     |      cash      |        0.915         |  0.8571428571428571 |         0.975          |    0.9933507113510024    |
|   professor   |    cucumber    |        0.031         |  0.5263157894736842 |           0            |            0             |
|      king     |    cabbage     |        0.023         |        0.625        |          0.7           |    0.3242088163902064    |
|      king     |     queen      |        0.858         |         1.0         |          1.0           |           1.0            |
|      king     |      rook      |        0.592         |         0.9         |         0.975          |    0.9933507113510024    |
|     bishop    |     rabbi      |        0.669         |  0.7692307692307693 |           0            |            0             |
|   Jerusalem   |     Israel     |  0.8460000000000001  |  0.6666666666666666 |           0            |            0             |
|   Jerusalem   |  Palestinian   |        0.765         | 0.23529411764705882 |           0            |            0             |
|      holy     |      sex       |        0.162         | 0.18181818181818182 |           0            |            0             |
|      fuck     |      sex       |        0.944         |  0.8333333333333334 |           0            |            0             |
|    Maradona   |    football    |  0.8619999999999999  |          0          |           0            |            0             |
|    football   |     soccer     |  0.9029999999999999  |  0.9473684210526315 |         0.925          |    0.697513638868093     |
|    football   |   basketball   |  0.6809999999999999  |  0.8888888888888888 |         0.975          |    0.9933507113510024    |
|    football   |     tennis     |        0.663         |  0.7777777777777778 |          0.8           |   0.43339347763417224    |
|     tennis    |     racket     |        0.756         |  0.5555555555555556 |          0.8           |   0.43339347763417224    |
|     Arafat    |     peace      |        0.673         | 0.16666666666666666 |           0            |            0             |
|     Arafat    |     terror     |        0.765         |  0.5454545454545454 |           0            |            0             |
|     Arafat    |    Jackson     |         0.25         |  0.7692307692307693 |           0            |            0             |
|      law      |     lawyer     |  0.8380000000000001  |         0.2         |           0            |            0             |
|     movie     |      star      |        0.738         |  0.5454545454545454 |          0.7           |    0.3242088163902064    |
|     movie     |    popcorn     |        0.619         |  0.3157894736842105 |         0.675          |   0.30265471531561156    |
|     movie     |     critic     |        0.673         |         0.5         |          0.7           |    0.3242088163902064    |
